Benchmark,Predicted_Solver,Solved,Runtime,PAR2_Score
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_17_00_14_156_1336973.smt_in.smt2,iProver,False,1200,2400
UF/sledgehammer/StrongNorm/uf.693725.smt2,cvc5,False,1200,2400
UF/sledgehammer/StrongNorm/uf.635243.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_50_34_867_1258456.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/NS_Shared/smtlib.649676.smt2,iProver,False,1200,2400
UF/sledgehammer/FFT/uf.613272.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_49_41_465_976477.smt_in.smt2,cvc5,True,30.338197432924062,30.338197432924062
UF/sledgehammer/Hoare/uf.1063423.smt2,iProver,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1260380.smt2,cvc5,False,1200,2400
UF/sledgehammer/NS_Shared/uf.715377.smt2,Yices2,False,1200,2400
UF/sledgehammer/FFT/uf.746558.smt2,iProver,False,1200,2400
UF/sledgehammer/StrongNorm/uf.669813.smt2,iProver,False,1200,2400
UF/sledgehammer/StrongNorm/uf.673643.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_25_380_1050913.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.882543.smt2,iProver,True,1.3817121840002073,1.3817121840002073
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.665353.smt2,iProver,False,1200,2400
UF/sledgehammer/TypeSafe/smtlib.1305552.smt2,Yices2,False,1200,2400
UF/sledgehammer/Arrow_Order/uf.792027.smt2,Yices2,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_22_59_283_1120271.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_51_12_254_1089084.smt_in.smt2,iProver,True,308.61052843799916,308.61052843799916
UF/20201221-induction-by-reflection-schoisswohl/reflectiveInductive/addCommutId.smt2,iProver,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.580248.smt2,iProver,False,1200,2400
UF/grasshopper/uninstantiated/rec_filter_precondition_of_rec_filter_18_10.smt2,cvc5,True,0.22781873308122158,0.22781873308122158
UF/sledgehammer/QEpres/uf.1121540.smt2,cvc5,False,1200,2400
UF/sledgehammer/TwoSquares/uf.709857.smt2,iProver,False,1200,2400
UF/sledgehammer/TypeSafe/smtlib.1381702.smt2,iProver,False,1200,2400
UF/sledgehammer/StrongNorm/smtlib.647535.smt2,iProver,False,1200,2400
UF/sledgehammer/TypeSafe/uf.833179.smt2,cvc5,False,1200,2400
UF/sledgehammer/Hoare/uf.1075670.smt2,iProver,True,0.8677242749981815,0.8677242749981815
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_32_871_1920351.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_54_519_1125631.smt_in.smt2,cvc5,True,0.3712598930578679,0.3712598930578679
UF/sledgehammer/QEpres/uf.669105.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.815405.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_38_287_2642351.smt_in.smt2,Yices2,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_54_47_428_1460395.smt_in.smt2,iProver,False,1200,2400
UF/sledgehammer/Arrow_Order/uf.838235.smt2,iProver,False,1200,2400
UF/sledgehammer/TypeSafe/smtlib.1323194.smt2,iProver,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.632410.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_58_44_668_1227122.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/QEpres/uf.1087386.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_16_954_1173729.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_59_177_2281818.smt_in.smt2,iProver,True,61.953736601000855,61.953736601000855
UF/sledgehammer/TypeSafe/smtlib.1218210.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/process/x2015_09_10_16_46_24_262_1043633.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_36_344_1124960.smt_in.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_05_43_296_2092486.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_36_155_1686533.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_05_203_2369998.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/Hoare/uf.997074.smt2,cvc5,True,0.5146920480765402,0.5146920480765402
UF/sledgehammer/StrongNorm/uf.732029.smt2,iProver,False,1200,2400
UF/sledgehammer/TwoSquares/uf.707188.smt2,iProver,False,1200,2400
UF/sledgehammer/Hoare/uf.715453.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_29_804_2555176.smt_in.smt2,Yices2,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_28_618_1911071.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/NS_Shared/smtlib.791501.smt2,iProver,True,3.382545530999778,3.382545530999778
UF/sledgehammer/StrongNorm/uf.790816.smt2,cvc5,True,0.2842299749609083,0.2842299749609083
UF/sledgehammer/StrongNorm/uf.581242.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.826132.smt2,iProver,True,0.9514418430007936,0.9514418430007936
UF/sledgehammer/Arrow_Order/uf.674949.smt2,cvc5,True,0.42846431699581444,0.42846431699581444
UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_17_00_26_190_1349370.smt_in.smt2,cvc5,True,0.30645701894536614,0.30645701894536614
UF/sledgehammer/QEpres/uf.791248.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.763540.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_46_58_732_1021788.smt_in.smt2,iProver,False,1200,2400
UF/sledgehammer/Arrow_Order/uf.625947.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_50_30_559_1254530.smt_in.smt2,Yices2,True,0.25355504900653614,0.25355504900653614
UF/sledgehammer/StrongNorm/uf.723796.smt2,iProver,False,1200,2400
UF/sledgehammer/TypeSafe/uf.1333426.smt2,iProver,False,1200,2400
UF/sledgehammer/StrongNorm/uf.828954.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_14_511_1050438.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/Hoare/uf.905772.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_47_015_1207389.smt_in.smt2,cvc5,True,0.2831756379455328,0.2831756379455328
UF/sledgehammer/QEpres/uf.692344.smt2,cvc5,True,828.7942509618588,828.7942509618588
UF/20170428-Barrett/cdt-cade2015/nada/afp/llist2/x2015_09_10_16_54_52_807_1256875.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.800740.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/distro/rbt_impl/x2015_09_10_16_59_11_590_1883244.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1309914.smt2,iProver,True,0.8928970889992343,0.8928970889992343
UF/sledgehammer/QEpres/uf.976682.smt2,iProver,False,1200,2400
UF/sledgehammer/NS_Shared/smtlib.871313.smt2,iProver,False,1200,2400
UF/sledgehammer/Hoare/uf.1105286.smt2,cvc5,False,1200,2400
UF/sledgehammer/NS_Shared/smtlib.766362.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_02_210_1874731.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/QEpres/uf.1050663.smt2,iProver,True,1.3468338689999655,1.3468338689999655
UF/20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_48_29_594_1117113.smt_in.smt2,Yices2,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_21_587_1901497.smt_in.smt2,cvc5,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_50_137_1703386.smt_in.smt2,iProver,False,1200,2400
UF/sledgehammer/Arrow_Order/uf.804900.smt2,cvc5,True,541.1400602660142,541.1400602660142
UF/sledgehammer/QEpres/uf.884456.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_01_009_1227491.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/FFT/uf.568337.smt2,cvc5,True,0.7843078209552914,0.7843078209552914
UF/20170428-Barrett/cdt-cade2015/nada/gandl/cotree/x2015_09_10_16_50_59_650_1095782.smt_in.smt2,cvc5,False,1200,2400
UF/sledgehammer/Arrow_Order/uf.648668.smt2,Yices2,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.952589.smt2,Yices2,True,0.33268259299802594,0.33268259299802594
UF/sledgehammer/QEpres/uf.832491.smt2,cvc5,True,0.5794708540197462,0.5794708540197462
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_46_663_1466431.smt_in.smt2,cvc5,True,0.34725079615600407,0.34725079615600407
UF/sledgehammer/Hoare/uf.1101275.smt2,iProver,False,1200,2400
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_07_04_399_2207674.smt_in.smt2,Yices2,False,1200,2400
UF/sledgehammer/Hoare/uf.731226.smt2,iProver,False,1200,2400
UF/sledgehammer/Fundamental_Theorem_Algebra/uf.663505.smt2,cvc5,False,1200,2400
UF/sledgehammer/FFT/uf.628585.smt2,iProver,False,1200,2400
